Ticker,Close,Upper_Band,Lower_Band,Volume,50-day MA,RSI,Current Price,Earnings Date,Days Until Earnings,Recommended Buy Price,Expiration Date,Delta,Sell Put Strike Price,Overbought,Oversold,Near Upper Band,Near Lower Band,Above 50-day MA,Earnings Soon,Recommended_Buy_Price,Buy_Score,Rank
SBUX,87.97000122070312,107.20322386006005,88.30477632304543,26473600,97.60360000610352,7.528173513905472,87.97,2025-01-28,36,83.57150115966796,2025-01-24,-0.0,[92m83.0[0m,False,True,False,True,False,False,83.57,5.17,1
INTC,19.520000457763672,25.407922398851817,17.84807735700756,108060900,22.78279998779297,21.982221675034438,19.52,2025-01-23,31,18.74048122485794,2025-01-24,-0.0,[92m18.5[0m,False,True,False,False,False,True,18.74,4.71,2
BAC,44.16999816894531,48.75178259389779,43.505217375584635,74111000,44.65800003051758,27.47251562707727,44.17,2025-01-16,24,41.96149826049805,2025-01-24,-0.0,[92m42.0[0m,False,True,False,False,False,True,41.96,4.49,3
AMD,119.20999908447266,148.95708110901614,116.6509190740893,53366800,142.64340087890625,15.639139460353462,119.21,2025-01-28,36,113.24949913024902,2025-01-24,-0.0,[92m105.0[0m,False,True,False,False,False,False,113.25,3.35,4
UBER,60.72999954223633,76.71918637757595,55.736812996813704,26340200,72.03660026550293,19.057169000857243,60.73,2025-02-05,44,58.52365364665439,2025-01-24,-0.0,[92m60.0[0m,False,True,False,False,False,False,58.52,3.17,5
ADBE,447.1700134277344,583.0227575825079,424.3552422954218,8196200,500.10959899902343,29.439450694585204,447.17,2025-03-12,79,445.57300441019294,2025-01-24,-0.0,[92m420.0[0m,False,True,False,False,False,False,445.57,3.05,6
NVDA,134.6999969482422,146.28640092518913,127.86059767100227,305207400,139.62059936523437,44.69060827009856,134.7,2025-02-26,65,134.2536275545524,2025-01-24,-0.0,[92m133.0[0m,False,False,False,False,False,False,134.25,3.0,7
DIS,112.02999877929688,119.03314326385413,110.7738567056283,17949000,106.08759979248048,25.960644672301115,112.03,2025-02-05,44,106.42849884033203,2025-01-24,-0.0,[92m106.0[0m,False,True,False,False,True,False,106.43,2.12,8
OTLY,0.6100000143051147,0.7661761245499115,0.6058238783111114,2019300,0.7367599999904633,30.370372169138534,0.61,2024-11-07,-46,0.579500013589859,2025-01-17,-0.0,[92m0.5[0m,False,False,False,False,False,True,0.58,2.01,9
TSLA,421.05999755859375,482.9788461092578,301.2911551114453,131374800,320.5736001586914,65.50788596763405,421.06,2025-01-24,32,316.35571286701753,2025-01-24,-0.0,[92m415.0[0m,False,False,False,False,True,True,316.36,1.86,10
