Ticker,Close,Upper_Band,Lower_Band,Volume,50-day MA,RSI,Current Price,Earnings Date,Days Until Earnings,Recommended Buy Price,Expiration Date,Delta,Sell Put Strike Price,Overbought,Oversold,Near Upper Band,Near Lower Band,Above 50-day MA,Earnings Soon,Recommended_Buy_Price,Buy_Score,Rank
GOOG,192.9600067138672,203.6583637261119,159.7676387763295,45260900,176.00880126953126,69.54225446704407,192.96,2025-01-28,36,167.75602071514598,2025-01-24,-0.0,[92m170.0[0m,False,False,False,False,True,False,167.76,0.3,29
SNAP,11.399999618530273,12.875902670349705,10.752097398314847,38537200,11.397600021362305,39.465868485119984,11.4,2025-02-04,43,11.28970226823059,2025-01-24,-0.0,[92m9.0[0m,False,False,False,False,True,False,11.29,0.25,30
HOOD,38.33000183105469,42.41612775078169,35.02487261542925,28993900,32.884000091552736,51.478556274873576,38.33,2025-02-11,50,36.776116246200715,2025-01-24,-0.0,[92m34.0[0m,False,False,False,False,True,False,36.78,0.19,31
BA,177.35000610351562,180.56978617891164,143.34221028104932,23218800,155.0559994506836,80.88453826674922,177.35,2025-01-29,37,150.5093207951018,2025-01-24,-0.0,[92m175.0[0m,True,False,False,False,True,False,150.51,0.15,32
JBLU,7.440000057220459,7.768958558652846,5.56704150238231,23111800,6.634000005722046,68.11593802279309,7.44,2025-01-28,36,5.845393577501425,2025-01-24,-0.0,[92m6.0[0m,False,False,False,False,True,False,5.85,0.15,32
PYPL,87.12999725341797,92.20582225537406,84.41367618822945,22043900,84.5254997253418,51.4402261200609,87.13,2025-02-05,44,82.77349739074707,2025-01-24,-0.0,[92m86.0[0m,False,False,False,False,True,False,82.77,0.14,34
HIMS,26.200000762939453,35.22180866055902,25.77919174379889,17260100,25.550800094604494,37.43921805063534,26.2,2025-02-24,63,24.89000072479248,2025-01-24,-0.0,[92m25.0[0m,False,False,False,False,True,False,24.89,0.11,35
CMG,61.869998931884766,66.87404935269993,59.73095133394558,12725800,60.621200256347656,55.1035924562196,61.87,2025-02-04,43,58.77649898529052,2025-01-24,-0.0,[92m55.0[0m,False,False,False,False,True,False,58.78,0.08,36
COIN,278.7099914550781,340.1830806720253,273.2109226238731,9972100,266.47920166015626,42.978240953811685,278.71,2025-02-13,52,264.7744918823242,2025-01-24,-0.0,[92m275.0[0m,False,False,False,False,True,False,264.77,0.07,37
SQ,89.6500015258789,99.86619713421616,85.63680426959242,8829200,83.62240036010742,45.91490723542016,89.65,2025-02-20,59,85.16750144958496,2025-01-24,-0.0,[92m87.0[0m,False,False,False,False,True,False,85.17,0.06,38
COST,954.0700073242188,1005.4199976378156,950.0820043153094,5362300,933.196201171875,39.109161507351985,954.07,2025-03-06,73,906.3665069580078,2025-01-24,-0.0,[92m940.0[0m,False,False,False,False,True,False,906.37,0.04,39
NET,112.69000244140625,120.05714939231834,98.35685283546488,5114000,98.56860076904297,61.13053286596632,112.69,2025-02-06,45,103.27469547723813,2025-01-24,-0.0,[92m112.0[0m,False,False,False,False,True,False,103.27,0.03,40
SNOW,166.2899932861328,185.760540371142,160.0914585302252,5299900,142.79439971923827,44.248448208030325,166.29,2025-02-26,65,157.97549362182616,2025-01-24,-0.0,[92m165.0[0m,False,False,False,False,True,False,157.98,0.03,40
